stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code,zone_id,stop_desc
S0-0,Arena Sepsi,45.882200,25.807100,0,,,city,
ST1,Autoliv,45.865800,25.815300,1,,,,
S1-0,Autoliv,45.865746,25.815296,0,ST1,1,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
S1-1,Autoliv,45.865854,25.815304,0,ST1,2,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
ST2,B-dul Grigore Bălan 1,45.862200,25.796200,1,,,,
S2-0,B-dul Grigore Bălan 1,45.862187,25.796275,0,ST2,1,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
S2-1,B-dul Grigore Bălan 1,45.862213,25.796125,0,ST2,2,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
ST3,B-dul Grigore Bălan 2,45.858000,25.796400,1,,,,
S3-0,B-dul Grigore Bălan 2,45.857985,25.796474,0,ST3,1,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
S3-1,B-dul Grigore Bălan 2,45.858015,25.796326,0,ST3,2,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
ST4,B-dul Nicolae Iorga 1,45.857950,25.794600,1,,,,
S4-0,B-dul Nicolae Iorga 1,45.858000,25.794800,0,ST4,1,city,
S4-1,B-dul Nicolae Iorga 1,45.857900,25.794400,0,ST4,2,city,
ST5,B-dul Nicolae Iorga 2,45.859300,25.791950,1,,,,
S5-0,B-dul Nicolae Iorga 2,45.859100,25.792000,0,ST5,1,city,
S5-1,B-dul Nicolae Iorga 2,45.859500,25.791900,0,ST5,2,city,
ST6,Biserica Reformată,45.864050,25.792500,1,,,,
S6-0,Biserica Reformată,45.863800,25.793100,0,ST6,1,city,
S6-1,Biserica Reformată,45.864300,25.791900,0,ST6,2,city,
S7-0,Biserica Reformată Arcuș,45.900900,25.772500,0,,,arcus,
ST8,Calea Brașovului 1,45.857050,25.807050,1,,,,
S8-0,Calea Brașovului 1,45.857100,25.807200,0,ST8,1,city,
S8-1,Calea Brașovului 1,45.857000,25.806900,0,ST8,2,city,
ST9,Calea Brașovului 2,45.851700,25.805900,1,,,,
S9-0,Calea Brașovului 2,45.851800,25.805800,0,ST9,1,city,
S9-1,Calea Brașovului 2,45.851600,25.806000,0,ST9,2,city,
ST10,Calea Brașovului 3,45.848600,25.805300,1,,,,
S10-0,Calea Brașovului 3,45.848600,25.805200,0,ST10,1,city,
S10-1,Calea Brașovului 3,45.848600,25.805400,0,ST10,2,city,
ST11,Cap Linie Simeria,45.867550,25.779150,1,,,,
S11-0,Cap Linie Simeria,45.868000,25.779200,0,ST11,1,city,
S11-1,Cap Linie Simeria,45.867100,25.779100,0,ST11,2,city,
ST12,Cart. Kossuth Lajos,45.884000,25.800200,1,,,,
S12-0,Cart. Kossuth Lajos,45.884000,25.800300,0,ST12,1,city,
S12-1,Cart. Kossuth Lajos,45.884000,25.800100,0,ST12,2,city,
ST13,Cartierul Ciucului,45.873900,25.792300,1,,,,
S13-0,Cartierul Ciucului,45.873900,25.792000,0,ST13,1,city,
S13-1,Cartierul Ciucului,45.873900,25.792600,0,ST13,2,city,
S14-0,Casa cu Arcade,45.863600,25.786600,0,,,city,
ST15,Castelul Szentkereszty,45.897850,25.787050,1,,,,
S15-0,Castelul Szentkereszty,45.897700,25.787900,0,ST15,1,arcus,
S15-1,Castelul Szentkereszty,45.898000,25.786200,0,ST15,2,arcus,
S16-0,Centru Arcuș,45.903100,25.773500,0,,,arcus,
ST17,Centru Comercial,45.869550,25.800800,1,,,,
S17-0,Centru Comercial,45.869300,25.801000,0,ST17,1,city,
S17-1,Centru Comercial,45.869800,25.800600,0,ST17,2,city,
ST18,Chilieni,45.836550,25.804150,1,,,,
S18-0,Chilieni,45.836400,25.804100,0,ST18,1,city,
S18-1,Chilieni,45.836700,25.804200,0,ST18,2,city,
ST19,Col. Mihai Viteazul,45.860550,25.784850,1,,,,
S19-0,Col. Mihai Viteazul,45.861000,25.785500,0,ST19,1,city,
S19-1,Col. Mihai Viteazul,45.860100,25.784200,0,ST19,2,city,
S20-0,Comfort Residence,45.854800,25.793100,0,,,city,
ST21,Coșeni 1,45.814900,25.798900,1,,,,
S21-0,Coșeni 1,45.814902,25.798823,0,ST21,1,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
S21-1,Coșeni 1,45.814898,25.798977,0,ST21,2,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
S22-0,Coșeni 2,45.812900,25.799300,0,,,city,
ST23,Câmpul Frumos,45.861900,25.841000,1,,,,
S23-0,Câmpul Frumos,45.861850,25.840972,0,ST23,1,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
S23-1,Câmpul Frumos,45.861950,25.841028,0,ST23,2,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
ST24,Debren,45.867150,25.795950,1,,,,
S24-0,Debren,45.867100,25.795800,0,ST24,1,city,
S24-1,Debren,45.867200,25.796100,0,ST24,2,city,
ST25,Fabrica de Lapte,45.875100,25.800700,1,,,,
S25-0,Fabrica de Lapte,45.875083,25.800774,0,ST25,1,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
S25-1,Fabrica de Lapte,45.875117,25.800626,0,ST25,2,city,Peron helye számítva a menetirányból; a forrás egyetlen koordinátát közöl.
ST26,Fabrica de Țigarete,45.858650,25.782400,1,,,,
S26-0,Fabrica de Țigarete,45.858900,25.782600,0,ST26,1,city,
S26-1,Fabrica de Țigarete,45.858400,25.782200,0,ST26,2,city,
ST27,Fântâna Honvéd,45.872350,25.741100,1,,,,
S27-0,Fântâna Honvéd,45.872400,25.741000,0,ST27,1,city,
S27-1,Fântâna Honvéd,45.872300,25.741200,0,ST27,2,city,
S28-0,Gara CFR,45.863100,25.810100,0,,,city,
ST29,Grădinărie,45.878950,25.797050,1,,,,
S29-0,Grădinărie,45.878900,25.797100,0,ST29,1,city,
S29-1,Grădinărie,45.879000,25.797000,0,ST29,2,city,
ST30,Institutul de Proiectări,45.861650,25.782050,1,,,,
S30-0,Institutul de Proiectări,45.861600,25.782200,0,ST30,1,city,
S30-1,Institutul de Proiectări,45.861700,25.781900,0,ST30,2,city,
S31-0,Izvorul Sulfuros,45.855500,25.767200,0,,,city,
